strategy,Annualized mean,NW standard error,NW t-stat,Mean CI lower,Mean CI upper,NW lags,Sharpe,Sharpe CI lower,Sharpe CI upper,Bootstrap samples,Block size
Logistic,0.12370364170144409,0.050085811564565416,2.4698340275864,0.02553545103489588,0.2218718323679923,8.0,0.721009156676719,0.1316298728521221,1.4375693144396289,1000.0,20.0
Nested ML + momentum,0.12298921773017882,0.05010757223784905,2.454503625647187,0.024778376143994682,0.22120005931636294,8.0,0.7168944829941195,0.14255817861851536,1.4308603690136588,1000.0,20.0
SPY buy and hold,0.13952857431833462,0.05046488764196776,2.7648644599834493,0.04061739454007782,0.23843975409659143,8.0,0.7890082708417913,0.17265955139940378,1.514020321792987,1000.0,20.0
SPY above 50-day MA,0.05548518828438193,0.03359785806344049,1.6514501662461079,-0.010366613519961425,0.12133699008872528,8.0,0.5241269826175831,-0.09111266239234098,1.2589059108991034,1000.0,20.0
