model,dropped_feature,accuracy,roc_auc,cagr,sharpe,max_drawdown,annualized_turnover,delta_roc_auc,delta_sharpe
logistic,(baseline),0.540551500405515,0.49437197088197565,0.1145739495104432,0.7186744447653176,-0.33717244676848723,1.9416058394160582,,
logistic,return_1d,0.5437956204379562,0.4902374715711695,0.11344815883754644,0.7150828662780421,-0.3371724467684871,1.1240875912408759,-0.004134499310806172,-0.0035915784872755374
logistic,return_5d,0.5478507704785077,0.4868960263015211,0.10299944183244936,0.6588371779684441,-0.33717244676848723,0.9197080291970802,-0.00747594458045453,-0.05983726679687351
logistic,return_10d,0.5454176804541768,0.49217995623934435,0.1267251087306922,0.7765247257205002,-0.33717244676848723,1.9416058394160582,-0.0021920146426313014,0.05785028095518263
logistic,return_20d,0.5409570154095702,0.4945923005402722,0.11637578754631317,0.7273213131157215,-0.33717244676848723,1.9416058394160582,0.0002203296582965475,0.008646868350403847
logistic,price_to_ma_10d,0.5393349553933495,0.49496593185840765,0.11433422629490964,0.7175042175702424,-0.33717244676848723,2.145985401459854,0.0005939609764319953,-0.001170227195075202
logistic,price_to_ma_20d,0.5401459854014599,0.4931375938806756,0.11840674030228882,0.7294989387631767,-0.33717244676848723,1.3284671532846715,-0.0012343770013000799,0.01082449399785912
logistic,price_to_ma_50d,0.5401459854014599,0.49901681208202897,0.11656570815020495,0.7324999972102167,-0.33717244676848734,1.9416058394160582,0.004644841200053318,0.013825552444899136
logistic,volatility_10d,0.5409570154095702,0.4976643065289916,0.1481319452913472,0.8990971203032563,-0.24496392197774974,2.759124087591241,0.0032923356470159204,0.18042267553793867
logistic,volatility_20d,0.5429845904298459,0.4947701570114273,0.12121389386149417,0.7382728952578793,-0.33717244676848723,1.532846715328467,0.00039818612945163867,0.019598450492561703
logistic,rsi_14d,0.540551500405515,0.49917210467251516,0.11410331385557804,0.7148938992620216,-0.33717244676848723,1.7372262773722627,0.004800133790539507,-0.0037805455032959845
logistic,macd,0.5393349553933495,0.496534121564898,0.10793292283066358,0.701082576833691,-0.32341146796402465,2.145985401459854,0.002162150682922359,-0.017591867931626592
logistic,volume_change_1d,0.5433901054339011,0.4931601577613445,0.1101914341526582,0.6999989704242555,-0.3039381194515185,2.554744525547445,-0.0012118131206311777,-0.018675474341062093
logistic,volume_to_average_20d,0.5417680454176804,0.4896348832285993,0.11723897864262134,0.7267626045715844,-0.33717244676848723,1.9416058394160582,-0.004737087653376326,0.00808815980626676
gradient-boosting,(baseline),0.5239253852392538,0.5039204742662259,0.06014563966696529,0.45027447660937553,-0.32838437216562044,40.36496350364963,,
gradient-boosting,return_1d,0.5421735604217356,0.5152601515894595,0.0858499674045421,0.5950330723329212,-0.3577215420291936,39.54744525547445,0.011339677323233599,0.1447585957235457
gradient-boosting,return_5d,0.5287915652879156,0.4986345533977554,0.08357483762995854,0.5923065676659867,-0.2911660257051374,41.591240875912405,-0.005285920868470462,0.14203209105661113
gradient-boosting,return_10d,0.524330900243309,0.5029223543684005,0.07366351222156209,0.5273884140873827,-0.3283843721656202,42.20437956204379,-0.0009981198978253891,0.07711393747800716
gradient-boosting,return_20d,0.5304136253041363,0.5116562352961476,0.0848345470122791,0.5845394306075906,-0.3346242799126935,40.77372262773722,0.007735761029921684,0.1342649539982151
gradient-boosting,price_to_ma_10d,0.5247364152473641,0.5107540118911651,0.079326810943678,0.5613766813253839,-0.31200345202415203,42.817518248175176,0.006833537624939212,0.11110220471600835
gradient-boosting,price_to_ma_20d,0.5231143552311436,0.5071776368051403,0.05325958506716466,0.4089293568469964,-0.3572194833386545,44.043795620437955,0.0032571625389143932,-0.041345119762379146
gradient-boosting,price_to_ma_50d,0.5287915652879156,0.5048323205026701,0.0432123062026355,0.3481268996090441,-0.32838437216562044,41.38686131386861,0.000911846236444247,-0.10214757700033145
gradient-boosting,volatility_10d,0.5369018653690186,0.5179386169535708,0.07446510620850377,0.5317097054920892,-0.29735481050050205,44.45255474452554,0.014018142687344914,0.08143522888271365
gradient-boosting,volatility_20d,0.5287915652879156,0.5078674942744152,0.08695232554964605,0.6095714306183667,-0.2967842842846671,40.262773722627735,0.003947020008189361,0.1592969540089912
gradient-boosting,rsi_14d,0.5154095701540957,0.5043973021562442,0.04462852159001218,0.3598046068069152,-0.32838437216562044,44.75912408759124,0.0004768278900183498,-0.09046986980246036
gradient-boosting,macd,0.5300081103000811,0.5128285616256082,0.10091451149309894,0.6858321021224656,-0.2748094873712963,45.57664233576642,0.00890808735938231,0.23555762551309006
gradient-boosting,volume_change_1d,0.5312246553122466,0.5086144250889116,0.09146216416173636,0.6323821563268822,-0.3352257385514662,41.38686131386861,0.004693950822685755,0.1821076797175067
gradient-boosting,volume_to_average_20d,0.5352798053527981,0.5107500300298706,0.11664565500178936,0.7718263475638325,-0.3119560437483626,42.20437956204379,0.006829555763644746,0.321551870954457
