portfolio,CAGR,Cumulative return,Annualized volatility,Sharpe,Maximum drawdown,Hit rate,Position changes,Total turnover,Annualized turnover,Accuracy,Precision,Recall,ROC AUC
Walk-forward strategy,0.046475999185680905,0.5595048543622898,0.1369646791725703,0.40038808893463973,-0.28037554049146973,0.39735894357743096,870.0,871.0,89.04340770791075,0.5407707910750507,0.5470307758994365,0.9355077835433655,0.4944310268325668
SPY buy and hold,0.131785821328521,2.356666764973498,0.17684031487875737,0.7890088302563016,-0.3371727747136858,0.5485969906466043,0.0,0.0,0.0,,,,
SPY above 50-day MA,0.06067165003621877,0.7792069412242908,0.10585225995175297,0.6096493688331709,-0.20259797568451432,0.5466816647919011,176.0,177.0,18.09492900608519,,,,
