model,CAGR,Cumulative return,Annualized volatility,Sharpe,Maximum drawdown,Hit rate,Position changes,Total turnover,Annualized turnover,Accuracy,Precision,Recall,ROC AUC
logistic,0.12223651776047895,2.0910896104438637,0.1726087598686618,0.7549066565704831,-0.3039381194515183,0.5421030582320905,20.0,21.0,2.145985401459854,0.5425790754257908,0.5472020504058095,0.949592290585619,0.49114732687696644
gradient-boosting,0.07669694027773755,1.0609033009905247,0.1608313906625456,0.5403536770151535,-0.3086492670013853,0.4983034415899176,375.0,375.0,38.32116788321168,0.5364963503649635,0.5585227272727272,0.7286879169755375,0.5157393022318996
