strategy,CAGR,Cumulative return,Annualized volatility,Sharpe,Maximum drawdown,Hit rate,Position changes,Total turnover,Annualized turnover,Accuracy,Precision,Recall,ROC AUC
Logistic,0.11503839190179965,1.9011956482222017,0.1715701396520675,0.721009156676719,-0.3371726769000347,0.5459057071960298,18.0,19.0,1.942393509127789,0.5407707910750507,0.5470307758994365,0.9355077835433655,0.49440578578051975
Nested ML + momentum,0.11424469845116603,1.8810584339328194,0.17155832643112653,0.7168944829941195,-0.3371726769000347,0.5454921422663358,20.0,21.0,2.1468559837728196,0.5403651115618662,0.5470383275261324,0.9310600444773907,0.5014447181105877
SPY buy and hold,0.13178579886998842,2.35666611343257,0.17684044575283336,0.7890082708417913,-0.3371726769000346,0.5485969906466043,0.0,0.0,0.0,,,,
SPY above 50-day MA,0.05111916898955249,0.628523152996797,0.10586210999342005,0.5241269826175831,-0.2109203706517787,0.5198285101822079,176.0,177.0,18.09492900608519,,,,
